pr_id,n_comments,id,merged
2879968675,3,2879968675,1
2879976340,2,2879976340,0
2879982832,2,2879982832,1
2880031446,5,2880031446,0
2880121831,3,2880121831,0
2880184292,2,2880184292,1
2880839931,4,2880839931,0
2881814219,1,2881814219,0
2881946639,1,2881946639,0
2881953650,2,2881953650,0
2882070723,1,2882070723,0
2882116956,2,2882116956,0
2882576893,2,2882576893,1
2882941412,2,2882941412,1
2882978615,2,2882978615,0
2882994573,3,2882994573,0
2883065848,4,2883065848,0
2883125190,3,2883125190,1
2883135223,4,2883135223,0
2883177962,1,2883177962,1
2883187330,4,2883187330,1
2883187795,2,2883187795,0
2883276586,4,2883276586,0
2883292616,3,2883292616,0
2883300502,2,2883300502,0
2883300802,2,2883300802,0
2883304506,3,2883304506,0
2883312343,2,2883312343,0
2883330678,2,2883330678,0
2883332104,2,2883332104,0
2883334857,2,2883334857,0
2883335237,2,2883335237,0
2883341548,2,2883341548,0
2883354620,2,2883354620,0
2883366695,2,2883366695,0
2883441964,3,2883441964,0
2883690112,1,2883690112,1
2884473950,5,2884473950,1
2884498451,3,2884498451,0
2884502313,2,2884502313,0
2884581493,3,2884581493,0
2885068224,2,2885068224,0
2885078952,2,2885078952,0
2885090278,1,2885090278,0
2885384121,1,2885384121,1
2885416773,2,2885416773,1
2886001243,4,2886001243,0
2886079850,4,2886079850,0
2886103948,6,2886103948,0
2886107789,1,2886107789,0
2886115305,1,2886115305,0
2886124960,5,2886124960,1
2886441170,3,2886441170,1
2886528623,3,2886528623,1
2886594739,3,2886594739,1
2886630974,3,2886630974,1
2886640084,4,2886640084,0
2886653082,3,2886653082,1
2886665013,3,2886665013,1
2886698699,3,2886698699,0
2886753141,3,2886753141,0
2886874246,3,2886874246,0
2886897797,3,2886897797,1
2887008712,3,2887008712,1
2887029130,3,2887029130,1
2887130544,3,2887130544,0
2887535309,3,2887535309,0
2887573861,3,2887573861,0
2887586185,1,2887586185,0
2887662785,2,2887662785,0
2887680476,2,2887680476,0
2887687817,3,2887687817,0
2887773021,2,2887773021,0
2887787232,4,2887787232,0
2887809365,3,2887809365,0
2887966124,1,2887966124,0
2888185420,1,2888185420,0
2888359179,2,2888359179,0
2888365345,4,2888365345,1
2888406702,4,2888406702,1
2888574069,2,2888574069,1
2888652935,4,2888652935,0
2888655394,3,2888655394,0
2888656724,4,2888656724,1
2888657963,4,2888657963,1
2888658506,4,2888658506,1
2888668074,2,2888668074,1
2888672043,3,2888672043,1
2888769145,2,2888769145,1
2888969392,6,2888969392,0
2888969472,6,2888969472,1
2888982802,5,2888982802,1
2889052457,2,2889052457,0
2889057480,3,2889057480,0
2889061596,2,2889061596,0
2889084115,3,2889084115,1
2889086831,2,2889086831,1
2889088401,3,2889088401,0
2889089910,6,2889089910,0
2889090308,3,2889090308,0
2889141848,1,2889141848,1
2889180264,2,2889180264,0
2889184823,8,2889184823,0
2889227305,3,2889227305,0
2889227796,7,2889227796,1
2889242157,2,2889242157,1
2889243475,1,2889243475,0
2889287277,1,2889287277,1
2889288178,1,2889288178,1
2889292561,1,2889292561,1
2889304556,1,2889304556,0
2889368019,2,2889368019,1
2889429365,3,2889429365,0
2889476862,2,2889476862,0
2889490163,2,2889490163,0
2889495515,2,2889495515,0
2889644644,3,2889644644,0
2889991519,3,2889991519,0
2890012140,2,2890012140,1
2890051390,2,2890051390,1
2890352964,1,2890352964,1
2890563538,3,2890563538,0
2891467242,3,2891467242,0
2891871225,4,2891871225,0
2891933231,2,2891933231,1
2891977336,4,2891977336,1
2891984003,7,2891984003,0
2892007195,2,2892007195,1
2892009204,5,2892009204,0
2892326421,3,2892326421,0
2892364883,2,2892364883,1
2892485327,2,2892485327,1
2892490441,2,2892490441,1
2892501559,1,2892501559,1
2892514403,3,2892514403,1
2892552345,5,2892552345,1
2892580326,2,2892580326,1
2892590238,2,2892590238,0
2892791802,2,2892791802,1
2892794923,2,2892794923,0
2892884286,3,2892884286,0
2892892782,3,2892892782,0
2892987140,4,2892987140,0
2893023320,3,2893023320,0
2893058469,3,2893058469,0
2893077606,3,2893077606,1
2893109657,3,2893109657,0
2893128067,5,2893128067,0
2893143640,5,2893143640,0
2893168529,5,2893168529,0
2893197094,5,2893197094,0
2893208755,5,2893208755,0
2893235769,5,2893235769,0
2893236471,3,2893236471,0
2893251539,5,2893251539,0
2893291911,5,2893291911,0
2893310147,5,2893310147,0
2893361646,3,2893361646,1
2893421717,5,2893421717,0
2893535102,5,2893535102,0
2893535875,3,2893535875,0
2893661373,5,2893661373,0
2893733497,7,2893733497,0
2893951588,5,2893951588,0
2894762370,1,2894762370,0
2894862894,2,2894862894,0
2894899022,2,2894899022,0
2894930869,5,2894930869,1
2894937008,2,2894937008,0
2894981445,4,2894981445,0
2894991782,2,2894991782,1
2894993801,4,2894993801,0
2895019210,4,2895019210,0
2895053573,4,2895053573,1
2895262047,3,2895262047,1
2895276080,3,2895276080,0
2895276856,6,2895276856,0
2895280174,4,2895280174,1
2895280316,2,2895280316,1
2895289652,3,2895289652,0
2895316084,2,2895316084,1
2895342484,3,2895342484,1
2895475720,2,2895475720,1
2895537514,2,2895537514,1
2895731914,2,2895731914,0
2895754600,2,2895754600,1
2895758349,2,2895758349,0
2895766219,3,2895766219,0
2895782134,2,2895782134,0
2895789917,3,2895789917,0
2895840786,5,2895840786,0
2895849861,16,2895849861,1
2895855357,6,2895855357,0
2895908746,3,2895908746,1
2895910398,3,2895910398,1
2895920994,3,2895920994,0
2895935478,3,2895935478,1
2895971578,4,2895971578,0
2895972880,5,2895972880,0
2895988952,3,2895988952,1
2896014180,3,2896014180,0
2896027319,3,2896027319,0
2896051708,3,2896051708,1
2896167895,5,2896167895,0
2896210870,3,2896210870,1
2896371903,4,2896371903,0
2896388103,6,2896388103,0
2896791270,6,2896791270,0
2896909918,4,2896909918,1
2897155784,5,2897155784,0
2897533176,4,2897533176,0
2897770314,2,2897770314,1
2897928860,5,2897928860,0
2898303479,2,2898303479,0
2898351864,3,2898351864,0
2898408890,2,2898408890,1
2898666158,3,2898666158,0
2898708275,4,2898708275,0
2898927585,3,2898927585,1
2898933775,2,2898933775,1
2898943616,1,2898943616,1
2899033763,3,2899033763,0
2899043054,6,2899043054,0
2899050914,3,2899050914,0
2899060266,3,2899060266,1
2899134957,3,2899134957,1
2899248773,2,2899248773,1
2899281117,2,2899281117,0
2899415257,9,2899415257,0
2899419096,4,2899419096,0
2899427895,3,2899427895,0
2899428182,3,2899428182,0
2899450757,4,2899450757,0
2899726655,1,2899726655,0
2900044993,3,2900044993,0
2900058289,9,2900058289,0
2900197484,2,2900197484,1
2900251639,2,2900251639,1
2900306412,1,2900306412,0
2900785013,3,2900785013,1
2900788047,3,2900788047,1
2900790914,3,2900790914,0
2901054493,2,2901054493,1
2901256184,3,2901256184,1
